dataset	sex	n_donors	n_samples	n_source_sample_ids	n_donor_observations	n_cells	n_age_missing	age_min	age_q05	age_q25	age_median	age_q75	age_q95	age_max
aidav2	female	350	350	350	350	668207	0	19.0	24.0	31.0	40.0	50.0	64.0	77.0
aidav2	male	275	275	275	275	551685	0	19.0	23.0	31.0	40.0	48.0	62.0	75.0
immuneindonesia	female	78	78	78	78	171828	0	23.0	26.85	37.0	42.5	48.75	54.14999999999999	57.0
immuneindonesia	male	96	96	96	96	197550	0	18.0	20.0	32.0	40.5	47.25	55.5	60.0
immunobiologyaging	female	137	137	137	137	2147582	0	40.0	43.8	50.0	56.0	71.0	87.19999999999999	89.0
immunobiologyaging	male	97	97	97	97	1479403	0	42.0	42.8	52.0	66.0	76.0	88.19999999999999	89.0
onek1k	female	565	75	75	565	707955	0	19.0	28.200000000000003	55.0	67.0	75.0	86.0	97.0
onek1k	male	416	75	75	416	497631	0	19.0	31.0	57.0	68.0	76.0	86.0	93.0
terekhova	female	36	47	47	47	295934	0	26.0	29.25	35.75	51.5	68.25	78.25	80.0
terekhova	male	130	270	270	270	1579731	0	25.0	27.0	33.0	48.0	62.0	74.55	80.0
