dataset	lineage	fine_type	n_cells	n_donors	n_samples	confidence_missing	confidence_mean	confidence_lt_0_7	confidence_lt_0_9	confidence_min	confidence_q05	confidence_q25	confidence_median	confidence_q75	confidence_q95	confidence_max
aidav2	B cells	Age-associated B cells	3551	560	560	0	0.9425400571535406	228	502	0.015279078184601391	0.623874610629881	0.975434401935738	0.9986267899050643	0.9999382374550696	0.99999905445356	0.9999999995053062
aidav2	B cells	Memory B cells	40448	624	624	0	0.9380529686680151	2859	5963	0.006886045795417691	0.5825665422717043	0.9718161803076625	0.9977486310378488	0.9997962777432032	0.9999921011592211	0.9999999959446555
aidav2	B cells	Naive B cells	41968	623	623	0	0.985073694068877	665	1473	0.006881293596481868	0.9522860484354864	0.9995951628624116	0.9999844853510877	0.9999993592948171	0.9999999933751433	0.9999999999999507
immuneindonesia	B cells	Age-associated B cells	6763	172	172	0	0.8040525308585789	1676	2737	0.0031992163031074653	0.15651668539685507	0.7063071069374405	0.9528652615007507	0.9964448737962199	0.9999466246546724	0.9999999972819227
immuneindonesia	B cells	Memory B cells	17673	174	174	0	0.8499447873393813	3278	5387	0.0007360122763201024	0.2049694238360795	0.8342551836503497	0.9840144631584158	0.9987689059378572	0.9999691683753841	0.9999999857698125
immuneindonesia	B cells	Naive B cells	18716	174	174	0	0.9165144952247736	1859	3224	0.0019260630411540147	0.3841322707440732	0.9658853957803499	0.9980727491439736	0.9999243934839832	0.999999466158547	0.9999999999988238
immunobiologyaging	B cells	Age-associated B cells	34508	234	234	0	0.9407048913302708	2440	4528	0.0017421606059218587	0.5591459089724267	0.9861094522289964	0.9997106993811231	0.9999948754564859	0.9999999641414361	0.9999999999991602
immunobiologyaging	B cells	MAIT cells	52	28	28	0	0.7154759157499709	20	28	0.026443736702469068	0.11817681945615621	0.45978194032368414	0.8658824369700101	0.9922728754772911	0.9996981485901727	0.9999970525703613
immunobiologyaging	B cells	Memory B cells	129062	234	234	0	0.9168550083587326	12873	22810	6.82002732505285e-05	0.4029980708815634	0.9633165278493018	0.9983139536993235	0.9999296035524295	0.9999989501803024	0.999999999924845
immunobiologyaging	B cells	Naive B cells	290484	234	234	0	0.9919354770636919	2766	5062	0.0006197875693287567	0.9967589144799238	0.9999981209016522	0.9999999546147557	0.9999999981082693	0.9999999999686869	0.9999999999999991
onek1k	B cells	Age-associated B cells	4345	820	75	0	0.6520509839666748	2078	3091	0.0184457624508451	0.12378240352202367	0.4077239748912086	0.7231411673381579	0.9245412814444058	0.9929585036422652	0.9999740144149111
onek1k	B cells	Memory B cells	47458	981	75	0	0.8042165212782849	11691	20848	0.006207270909558932	0.21307898698657626	0.7063714499432128	0.9295823415117539	0.985776614280306	0.9984124406790451	0.999996779254505
onek1k	B cells	Naive B cells	73706	980	75	0	0.8585760398962362	12939	22354	0.00423252223623209	0.2566995960899709	0.840994881486969	0.9802978784100487	0.9976390689806222	0.9998709992057171	0.9999999564114844
terekhova	B cells	Memory B cells	31268	166	317	0	0.8727413281989564	4857	8516	0.0012028774889976332	0.2716823837924988	0.878777951271225	0.9875236794034978	0.9990441588078034	0.9999786517611076	0.9999999987642709
terekhova	B cells	Naive B cells	40049	166	317	0	0.9654930685307317	1536	3091	0.0015754536479855616	0.7895210368218182	0.9956132585456895	0.9998086513761308	0.9999932328363296	0.9999999581036694	0.9999999999998963
aidav2	CD4_like	Regulatory T cells	11532	621	621	0	0.9822102835170071	0	732	0.7011136112890971	0.8774209070272276	0.9937048969367706	0.9997662023382026	0.9999934272304345	0.9999999656120598	0.9999999999994655
aidav2	CD4_like	Tcm/Naive helper T cells	273758	625	625	0	0.9822293130578904	0	16318	0.7000172585648399	0.8830663005621955	0.9923820011784616	0.9992581581762869	0.9998932861406211	0.999991351323405	0.9999999999407951
aidav2	CD4_like	Tem/Effector helper T cells	70625	624	624	0	0.9440619636921492	0	14691	0.7000217554402742	0.7728477249694146	0.9191719275052241	0.9777998012650734	0.99569553654005	0.9996928031490343	0.999999813507953
immuneindonesia	CD4_like	Regulatory T cells	2549	167	167	0	0.9640446782190537	0	350	0.7001729169374568	0.7962688642036314	0.9664334346028972	0.9969258350300036	0.9998613648822194	0.9999989995743483	0.9999999999679783
immuneindonesia	CD4_like	Tcm/Naive helper T cells	82629	174	174	0	0.9626818547416598	0	11579	0.7000073518785266	0.7936296523901656	0.9614171170169098	0.9957384767138027	0.9994659008228045	0.9999578503279857	0.9999999905062741
immuneindonesia	CD4_like	Tem/Effector helper T cells	11929	167	167	0	0.9070266447865631	0	4575	0.70005712287216	0.7366796871465043	0.8473956239045115	0.93532361545511	0.9803451412513362	0.9979082765468836	0.9999970279754915
immunobiologyaging	CD4_like	Regulatory T cells	124139	234	234	0	0.9749126794196629	0	11941	0.7000309977071778	0.8268143567515406	0.9881196451677621	0.9997791668841062	0.9999964257598553	0.9999999752274193	0.9999999999998006
immunobiologyaging	CD4_like	Tcm/Naive helper T cells	1115044	234	234	0	0.9755820923695924	0	96114	0.7000026530726747	0.8400225547829451	0.9854905673772487	0.9983322318502603	0.9997671234901532	0.9999826181437355	0.9999999953052556
immunobiologyaging	CD4_like	Tem/Effector helper T cells	90596	234	234	0	0.9130362854193333	0	32045	0.7000016698453744	0.7369124204850819	0.8557603982605211	0.9441922154832515	0.986102374726356	0.9988330557990184	0.999999911797451
onek1k	CD4_like	Regulatory T cells	6016	913	75	0	0.9292048396277071	0	1706	0.7001420577858151	0.7535982556198151	0.8863675824877364	0.9650782317995512	0.993887731817117	0.9997795520012657	0.9999999940905875
onek1k	CD4_like	Tcm/Naive helper T cells	512067	981	75	0	0.9620441967261938	0	68300	0.700010445477017	0.8027506602900576	0.9590863074413014	0.9920021878149938	0.9982901180825503	0.9997726660670335	0.9999997720290428
onek1k	CD4_like	Tem/Effector helper T cells	10650	930	75	0	0.8861577561717991	0	5192	0.7001237285348336	0.7278570285493033	0.8192749582264354	0.9040375972854402	0.9615212028974607	0.9930312659646581	0.9999850106146827
terekhova	CD4_like	Regulatory T cells	30942	166	317	0	0.9686598185451413	0	3580	0.7006431463895988	0.8144848629695209	0.9715095187023007	0.9980486954957963	0.9999392544789811	0.999999847889797	0.9999999999999707
