lineage	scope	dataset	source_dataset_id	n_genes	var_index_name	var_columns	n_missing_unified_ensembl	n_exact_duplicate_ids	n_duplicate_ids_after_version_strip	n_versioned_ensembl_ids	n_ids_matching_human_ensembl_regex	var_index_equals_unified_ensembl	n_common_genes	n_genes_zero_expression	zero_expression_fraction	n_source_genes_outside_common_vocabulary
B cells	dataset_aggregated_across_source_partitions	aidav2	__dataset__	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	1722.0	0.09548100914887718	0.0
B cells	dataset_aggregated_across_source_partitions	immuneindonesia	__dataset__	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	1947.0	0.10795675076240643	0.0
B cells	dataset_aggregated_across_source_partitions	immunobiologyaging	__dataset__	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	1300.0	0.07208206265594677	0.0
B cells	dataset_aggregated_across_source_partitions	onek1k	__dataset__	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	2289.0	0.1269198780149709	0.0
B cells	dataset_aggregated_across_source_partitions	terekhova	__dataset__	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	2263.0	0.12547823676185196	0.0
B cells	merged	__all__	__all_sources_zero__	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	543.0	0.0301081230939839	
B cells	merged	__all__	__any_source_zero__	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	6836.0	0.3790407540892708	
B cells	merged_h5ad_vocabulary	__all__	__merged__	18035	unified_ensembl	unified_ensembl	0	0	0	0	18035.0	True	18035			
B cells	source_dataset_id	aidav2	aidav2_std	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	1722.0	0.0954810091488771	18371.0
B cells	source_dataset_id	immuneindonesia	immuneindonesia_std	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	1947.0	0.1079567507624064	17995.0
B cells	source_dataset_id	immunobiologyaging	ImmunoAging_b-plasma_cells_standardized	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	1303.0	0.0722484058774605	42.0
B cells	source_dataset_id	immunobiologyaging	ImmunoAging_cd8-gdt-mait-dnt_cells_standardized	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	6776.0	0.3757138896589964	42.0
B cells	source_dataset_id	onek1k	onek1k_std	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	2289.0	0.1269198780149709	18536.0
B cells	source_dataset_id	terekhova	terekhova_std	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	2263.0	0.1254782367618519	18429.0
CD4_like	dataset_aggregated_across_source_partitions	aidav2	__dataset__	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	880.0	0.048794011644025505	0.0
CD4_like	dataset_aggregated_across_source_partitions	immuneindonesia	__dataset__	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	1570.0	0.08705295259218186	0.0
CD4_like	dataset_aggregated_across_source_partitions	immunobiologyaging	__dataset__	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	919.0	0.05095647352370391	0.0
CD4_like	dataset_aggregated_across_source_partitions	onek1k	__dataset__	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	1546.0	0.08572220682007209	0.0
CD4_like	dataset_aggregated_across_source_partitions	terekhova	__dataset__	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	1063.0	0.05894094815636263	0.0
CD4_like	merged	__all__	__all_sources_zero__	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	230.0	0.0127529803160521	
CD4_like	merged	__all__	__any_source_zero__	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	7287.0	0.4040476850568339	
CD4_like	merged_h5ad_vocabulary	__all__	__merged__	18035	unified_ensembl	unified_ensembl	0	0	0	0	18035.0	True	18035			
CD4_like	source_dataset_id	aidav2	aidav2_std	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	880.0	0.0487940116440255	18371.0
CD4_like	source_dataset_id	immuneindonesia	immuneindonesia_std	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	1570.0	0.0870529525921818	17995.0
CD4_like	source_dataset_id	immunobiologyaging	ImmunoAging_cd4-memory-treg_cells_standardized	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	1268.0	0.0703077349598003	42.0
CD4_like	source_dataset_id	immunobiologyaging	ImmunoAging_cd4-naive_cells_standardized	18035	unified_ensembl	unified_ensembl	0	0	0	0		True	18035	1312.0	0.0727474355420016	42.0
