dataset	lineage	field	n_cells	n_missing	missing_fraction	field_status
aidav2	B cells	age	85967	0	0.0	observed
aidav2	B cells	batch	85967	0	0.0	observed
aidav2	B cells	chemistry	85967	0	0.0	observed
aidav2	B cells	ctype_high	85967	0	0.0	observed
aidav2	B cells	ctype_high_conf	85967	0	0.0	observed
aidav2	B cells	ctype_low	85967	0	0.0	observed
aidav2	B cells	ctype_low_conf	85967	0	0.0	observed
aidav2	B cells	dataset	85967	0	0.0	observed
aidav2	B cells	donor_id	85967	0	0.0	observed
aidav2	B cells	lineage	85967	0	0.0	observed
aidav2	B cells	pct_mt	85967	0	0.0	observed
aidav2	B cells	sample_id	85967	0	0.0	observed
aidav2	B cells	sex	85967	0	0.0	observed
immuneindonesia	B cells	age	43152	0	0.0	observed
immuneindonesia	B cells	batch	43152	0	0.0	observed
immuneindonesia	B cells	chemistry	43152	0	0.0	observed
immuneindonesia	B cells	ctype_high	43152	0	0.0	observed
immuneindonesia	B cells	ctype_high_conf	43152	0	0.0	observed
immuneindonesia	B cells	ctype_low	43152	0	0.0	observed
immuneindonesia	B cells	ctype_low_conf	43152	0	0.0	observed
immuneindonesia	B cells	dataset	43152	0	0.0	observed
immuneindonesia	B cells	donor_id	43152	0	0.0	observed
immuneindonesia	B cells	lineage	43152	0	0.0	observed
immuneindonesia	B cells	pct_mt	43152	0	0.0	observed
immuneindonesia	B cells	sample_id	43152	0	0.0	observed
immuneindonesia	B cells	sex	43152	0	0.0	observed
immunobiologyaging	B cells	age	454106	0	0.0	observed
immunobiologyaging	B cells	batch	454106	0	0.0	observed
immunobiologyaging	B cells	chemistry	454106	0	0.0	observed
immunobiologyaging	B cells	ctype_high	454106	0	0.0	observed
immunobiologyaging	B cells	ctype_high_conf	454106	0	0.0	observed
immunobiologyaging	B cells	ctype_low	454106	0	0.0	observed
immunobiologyaging	B cells	ctype_low_conf	454106	0	0.0	observed
immunobiologyaging	B cells	dataset	454106	0	0.0	observed
immunobiologyaging	B cells	donor_id	454106	0	0.0	observed
immunobiologyaging	B cells	lineage	454106	0	0.0	observed
immunobiologyaging	B cells	pct_mt	454106	0	0.0	observed
immunobiologyaging	B cells	sample_id	454106	0	0.0	observed
immunobiologyaging	B cells	sex	454106	0	0.0	observed
onek1k	B cells	age	125509	0	0.0	observed
onek1k	B cells	batch	125509	0	0.0	observed
