query_index	input_ensembl_id	stripped_ensembl_id	version_stripped	duplicate_query_after_version_strip	mapping_resource_version	symbol	status
0	ENSG00000187634	ENSG00000187634	False	False	audit_2026-07-17	SAMD11	mapped_unique
1	ENSG00000188976	ENSG00000188976	False	False	audit_2026-07-17	NOC2L	mapped_unique
2	ENSG00000187961	ENSG00000187961	False	False	audit_2026-07-17	KLHL17	mapped_unique
3	ENSG00000187583	ENSG00000187583	False	False	audit_2026-07-17	PLEKHN1	mapped_unique
4	ENSG00000187642	ENSG00000187642	False	False	audit_2026-07-17	PERM1	mapped_unique
5	ENSG00000188290	ENSG00000188290	False	False	audit_2026-07-17	HES4	mapped_unique
6	ENSG00000187608	ENSG00000187608	False	False	audit_2026-07-17	ISG15	mapped_unique
7	ENSG00000188157	ENSG00000188157	False	False	audit_2026-07-17	AGRN	mapped_unique
8	ENSG00000237330	ENSG00000237330	False	False	audit_2026-07-17	RNF223	mapped_unique
9	ENSG00000131591	ENSG00000131591	False	False	audit_2026-07-17	C1orf159	mapped_unique
10	ENSG00000162571	ENSG00000162571	False	False	audit_2026-07-17	TTLL10	mapped_unique
11	ENSG00000186891	ENSG00000186891	False	False	audit_2026-07-17	TNFRSF18	mapped_unique
12	ENSG00000186827	ENSG00000186827	False	False	audit_2026-07-17	TNFRSF4	mapped_unique
13	ENSG00000078808	ENSG00000078808	False	False	audit_2026-07-17	SDF4	mapped_unique
14	ENSG00000176022	ENSG00000176022	False	False	audit_2026-07-17	B3GALT6	mapped_unique
15	ENSG00000184163	ENSG00000184163	False	False	audit_2026-07-17	C1QTNF12	mapped_unique
16	ENSG00000160087	ENSG00000160087	False	False	audit_2026-07-17	UBE2J2	mapped_unique
17	ENSG00000162572	ENSG00000162572	False	False	audit_2026-07-17	SCNN1D	mapped_unique
18	ENSG00000131584	ENSG00000131584	False	False	audit_2026-07-17	ACAP3	mapped_unique
19	ENSG00000169972	ENSG00000169972	False	False	audit_2026-07-17	PUSL1	mapped_unique
20	ENSG00000127054	ENSG00000127054	False	False	audit_2026-07-17	INTS11	mapped_unique
21	ENSG00000224051	ENSG00000224051	False	False	audit_2026-07-17	CPTP	mapped_unique
22	ENSG00000169962	ENSG00000169962	False	False	audit_2026-07-17	TAS1R3	mapped_unique
23	ENSG00000107404	ENSG00000107404	False	False	audit_2026-07-17	DVL1	mapped_unique
24	ENSG00000162576	ENSG00000162576	False	False	audit_2026-07-17	MXRA8	mapped_unique
25	ENSG00000175756	ENSG00000175756	False	False	audit_2026-07-17	AURKAIP1	mapped_unique
26	ENSG00000221978	ENSG00000221978	False	False	audit_2026-07-17	CCNL2	mapped_unique
27	ENSG00000235098	ENSG00000235098	False	False	audit_2026-07-17	ANKRD65	mapped_unique
28	ENSG00000205116	ENSG00000205116	False	False	audit_2026-07-17	TMEM278	mapped_unique
29	ENSG00000179403	ENSG00000179403	False	False	audit_2026-07-17	VWA1	mapped_unique
30	ENSG00000215915	ENSG00000215915	False	False	audit_2026-07-17	ATAD3C	mapped_unique
31	ENSG00000160072	ENSG00000160072	False	False	audit_2026-07-17	ATAD3B	mapped_unique
32	ENSG00000197785	ENSG00000197785	False	False	audit_2026-07-17	ATAD3A	mapped_unique
33	ENSG00000205090	ENSG00000205090	False	False	audit_2026-07-17	TMEM240	mapped_unique
34	ENSG00000160075	ENSG00000160075	False	False	audit_2026-07-17	SSU72	mapped_unique
35	ENSG00000228594	ENSG00000228594	False	False	audit_2026-07-17	FNDC10	mapped_unique
36	ENSG00000197530	ENSG00000197530	False	False	audit_2026-07-17	MIB2	mapped_unique
37	ENSG00000189409	ENSG00000189409	False	False	audit_2026-07-17	MMP23B	mapped_unique
38	ENSG00000248333	ENSG00000248333	False	False	audit_2026-07-17	CDK11B	mapped_unique
39	ENSG00000008128	ENSG00000008128	False	False	audit_2026-07-17	CDK11A	mapped_unique
40	ENSG00000008130	ENSG00000008130	False	False	audit_2026-07-17	NADK	mapped_unique
41	ENSG00000078369	ENSG00000078369	False	False	audit_2026-07-17	GNB1	mapped_unique
42	ENSG00000169885	ENSG00000169885	False	False	audit_2026-07-17	CALML6	mapped_unique
43	ENSG00000178821	ENSG00000178821	False	False	audit_2026-07-17	TMEM52	mapped_unique
44	ENSG00000142609	ENSG00000142609	False	False	audit_2026-07-17	CFAP74	mapped_unique
45	ENSG00000187730	ENSG00000187730	False	False	audit_2026-07-17	GABRD	mapped_unique
