fold_id	heldout_dataset	outer_role	dataset	donor_id	biological_unit_id	sex	age_min	age_max	age_for_stratification	n_source_observations	sample_ids	source_observation_ids	observation_ids	age_bin	sex_stratum	global_inner_fold	split_seed	n_inner_folds	inner_fold	eligible_for_reference_fitting
lodo_immunobiologyaging	immunobiologyaging	reference	aidav2	IN_NIB_H019	aidav2::IN_NIB_H019	female	25.0	25.0	25.0	1	5bf5934a-d137-476a-a0b0-d317fa774291	aidav2::5bf5934a-d137-476a-a0b0-d317fa774291	aidav2::IN_NIB_H019::5bf5934a-d137-476a-a0b0-d317fa774291	(-0.001, 30.0]	female	0	42	3	0	True
lodo_immunobiologyaging	immunobiologyaging	reference	aidav2	IN_NIB_H020	aidav2::IN_NIB_H020	female	29.0	29.0	29.0	1	4fa0c898-b08a-4ffa-b857-c7457e088528	aidav2::4fa0c898-b08a-4ffa-b857-c7457e088528	aidav2::IN_NIB_H020::4fa0c898-b08a-4ffa-b857-c7457e088528	(-0.001, 30.0]	female	2	42	3	2	True
lodo_immunobiologyaging	immunobiologyaging	reference	aidav2	IN_NIB_H021	aidav2::IN_NIB_H021	male	24.0	24.0	24.0	1	f6c96592-b019-4e74-9519-dc71d47c952a	aidav2::f6c96592-b019-4e74-9519-dc71d47c952a	aidav2::IN_NIB_H021::f6c96592-b019-4e74-9519-dc71d47c952a	(-0.001, 30.0]	male	1	42	3	1	True
lodo_immunobiologyaging	immunobiologyaging	reference	aidav2	IN_NIB_H022	aidav2::IN_NIB_H022	male	26.0	26.0	26.0	1	69c2fd22-dc3a-4842-95b5-2a450e09f7c5	aidav2::69c2fd22-dc3a-4842-95b5-2a450e09f7c5	aidav2::IN_NIB_H022::69c2fd22-dc3a-4842-95b5-2a450e09f7c5	(-0.001, 30.0]	male	2	42	3	2	True
lodo_immunobiologyaging	immunobiologyaging	reference	aidav2	IN_NIB_H023	aidav2::IN_NIB_H023	male	29.0	29.0	29.0	1	4ca0cf09-fff9-4088-b2c0-0505d17d7488	aidav2::4ca0cf09-fff9-4088-b2c0-0505d17d7488	aidav2::IN_NIB_H023::4ca0cf09-fff9-4088-b2c0-0505d17d7488	(-0.001, 30.0]	male	2	42	3	2	True
lodo_immunobiologyaging	immunobiologyaging	reference	aidav2	IN_NIB_H024	aidav2::IN_NIB_H024	female	24.0	24.0	24.0	1	fbac73de-8c6e-4a93-a961-66a881eb4117	aidav2::fbac73de-8c6e-4a93-a961-66a881eb4117	aidav2::IN_NIB_H024::fbac73de-8c6e-4a93-a961-66a881eb4117	(-0.001, 30.0]	female	0	42	3	0	True
lodo_immunobiologyaging	immunobiologyaging	reference	aidav2	IN_NIB_H025	aidav2::IN_NIB_H025	female	30.0	30.0	30.0	1	40314d7c-906f-4eb8-9536-394cbdee17d6	aidav2::40314d7c-906f-4eb8-9536-394cbdee17d6	aidav2::IN_NIB_H025::40314d7c-906f-4eb8-9536-394cbdee17d6	(-0.001, 30.0]	female	0	42	3	0	True
lodo_immunobiologyaging	immunobiologyaging	reference	aidav2	IN_NIB_H026	aidav2::IN_NIB_H026	female	24.0	24.0	24.0	1	796fdcb9-0d62-499a-9132-70a51f39d465	aidav2::796fdcb9-0d62-499a-9132-70a51f39d465	aidav2::IN_NIB_H026::796fdcb9-0d62-499a-9132-70a51f39d465	(-0.001, 30.0]	female	2	42	3	2	True
lodo_immunobiologyaging	immunobiologyaging	reference	aidav2	IN_NIB_H027	aidav2::IN_NIB_H027	female	26.0	26.0	26.0	1	3972c448-0359-4c1b-ae50-540edb2e08e2	aidav2::3972c448-0359-4c1b-ae50-540edb2e08e2	aidav2::IN_NIB_H027::3972c448-0359-4c1b-ae50-540edb2e08e2	(-0.001, 30.0]	female	2	42	3	2	True
lodo_immunobiologyaging	immunobiologyaging	reference	aidav2	IN_NIB_H028	aidav2::IN_NIB_H028	male	31.0	31.0	31.0	1	69809569-be81-49f0-bc1f-0904e410de0d	aidav2::69809569-be81-49f0-bc1f-0904e410de0d	aidav2::IN_NIB_H028::69809569-be81-49f0-bc1f-0904e410de0d	(30.0, 45.0]	male	0	42	3	0	True
lodo_immunobiologyaging	immunobiologyaging	reference	aidav2	IN_NIB_H029	aidav2::IN_NIB_H029	female	28.0	28.0	28.0	1	af8dd719-bbf0-4d7d-bb67-d4695d066640	aidav2::af8dd719-bbf0-4d7d-bb67-d4695d066640	aidav2::IN_NIB_H029::af8dd719-bbf0-4d7d-bb67-d4695d066640	(-0.001, 30.0]	female	2	42	3	2	True
lodo_immunobiologyaging	immunobiologyaging	reference	aidav2	IN_NIB_H030	aidav2::IN_NIB_H030	female	27.0	27.0	27.0	1	fc45ca61-b865-4fff-8ba2-00a9d89b7220	aidav2::fc45ca61-b865-4fff-8ba2-00a9d89b7220	aidav2::IN_NIB_H030::fc45ca61-b865-4fff-8ba2-00a9d89b7220	(-0.001, 30.0]	female	1	42	3	1	True
lodo_immunobiologyaging	immunobiologyaging	reference	aidav2	IN_NIB_H031	aidav2::IN_NIB_H031	male	22.0	22.0	22.0	1	737b4d87-a88d-4425-8c76-41ec721b42ca	aidav2::737b4d87-a88d-4425-8c76-41ec721b42ca	aidav2::IN_NIB_H031::737b4d87-a88d-4425-8c76-41ec721b42ca	(-0.001, 30.0]	male	0	42	3	0	True
